id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
8606,135.81,Male,Male-Mid,3,Knitted Cap,None,Luxurious Beard,None,None,None,None,None,None,"[35.5, 42.0]","[86150.0, 101930.0]","[304.37, 334.807]",2.0,86150.00,35.50,304.37,-15.482041773356487,30.437000000000012
8607,72.1,Male,Male-Dark,2,Shaved Head,Classic Shades,None,Classic Shades,None,None,None,None,None,[22.5],[54600.0],[304.37],1.0,54600.00,22.50,304.37,NA,NA
8608,145.9,Male,Male-Dark,3,Cap,None,None,None,Medical Mask,Smile,None,None,None,[8.0],[19410.0],[334.807],1.0,19410.00,8.00,334.81,NA,NA
8609,83.39,Male,Male-Light,3,Mohawk Dark,None,None,None,None,Frown,None,Earring,None,"[108.0, 1.0]","[262089.99999999997, 2430.0]","[91.311, 365.25]",2.0,262090.00,108.00,91.31,10681.160016454132,273.93899999999996
8610,107.35,Male,Male-Mid,4,Cap Forward,Eye Patch,None,Eye Patch,Cigarette,None,Mole,None,None,,,,,,,,,
8611,92.94,Male,Male-Mid,3,Shaved Head,None,Handlebars,None,None,None,None,Earring,None,"[17.75, 17.0, 22.25, 18.5]","[43080.0, 41260.0, 54000.0, 44900.0]","[273.933, 304.37, 304.37, 334.807]",4.0,43080.00,17.75,273.93,4.4085213639999035,30.437000000000012
8612,70.13,Male,Male-Light,2,Stringy Hair,VR,None,VR,None,None,None,None,None,"[75.0, 36.99, 25.0]","[182010.0, 89770.0, 60670.0]","[152.185, 182.622, 334.807]",3.0,182010.00,75.00,152.19,102.74921745329783,30.437000000000012
8613,61.43,Male,Male-Dark,3,Messy Hair,Big Shades,None,Big Shades,None,None,None,Earring,None,"[25.0, 25.0]","[60670.0, 60670.0]","[273.933, 334.807]",2.0,60670.00,25.00,273.93,-0.0016482339173575513,60.874000000000024
8614,113.99,Male,Male-Mid,4,Cap,Clown Eyes Green,Chinstrap,Clown Eyes Green,None,None,None,Earring,None,,,,,,,,,
8615,97.07,Male,Male-Light,3,Stringy Hair,None,None,None,None,Smile,Mole,None,None,,,,,,,,,
