id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
0,129.59,Female,Female-Mid,3,Blonde Bob,Green Eye Shadow,None,Green Eye Shadow,None,None,None,Earring,None,"[25.0, 1.6, 0.98]","[60670.0, 3880.0, 2380.0]","[1095.75, 1461.0, 1461.0]",3.0,60670.00,25.00,1095.75,1463.2568925534656,365.25
1,84.74,Male,Male-Dark,2,Mohawk,None,None,None,None,Smile,None,None,None,"[60.0, 31.0, 0.42]","[145610.0, 75230.0, 1020.0]","[365.25, 730.5, 1461.0]",3.0,145610.00,60.00,365.25,93.55053103109091,365.25
2,74.86,Female,Female-Light,1,Wild Hair,None,None,None,None,None,None,None,None,,,,,,,,,
3,88.45,Male,Male-Dark,3,Wild Hair,Nerd Glasses,None,Nerd Glasses,Pipe,None,None,None,None,,,,,,,,,
4,98.82,Male,Male-Mid,4,Wild Hair,Big Shades,Goat,Big Shades,None,None,None,Earring,None,,,,,,,,,
5,130.85,Female,Female-Mid,3,Half Shaved,Purple Eye Shadow,None,Purple Eye Shadow,None,None,None,Earring,None,,,,,,,,,
6,81.52,Male,Male-Mid,1,Do-rag,None,None,None,None,None,None,None,None,,,,,,,,,
7,201.04,Female,Female-Mid,3,Wild White Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,None,Spots,None,None,,,,,,,,,
8,76.55,Male,Male-Dark,2,Messy Hair,None,Luxurious Beard,None,None,None,None,None,None,,,,,,,,,
9,182.75,Male,Male-Mid,3,Police Cap,None,Big Beard,None,None,None,None,None,Clown Nose,,,,,,,,,
10,83.34,Female,Female-Dark,2,Mohawk,Blue Eye Shadow,None,Blue Eye Shadow,None,None,None,None,None,,,,,,,,,
11,130.53,Female,Female-Mid,3,Straight Hair Dark,Clown Eyes Green,None,Clown Eyes Green,None,Black Lipstick,None,None,None,,,,,,,,,
12,117.06,Female,Female-Dark,2,Blonde Short,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
13,125.14,Female,Female-Light,3,Straight Hair Blonde,Big Shades,None,Big Shades,None,Black Lipstick,None,None,None,,,,,,,,,
14,253.58,Female,Female-Dark,3,Pilot Helmet,None,None,None,Pipe,Hot Lipstick,None,None,None,"[2.5, 1.85, 0.9]","[6070.0, 4490.0, 2180.0]","[1095.75, 1461.0, 1461.0]",3.0,6070.00,2.50,1095.75,35.15920730349588,365.25
15,103.95,Male,Male-Albino,3,Wild Hair,Regular Shades,Luxurious Beard,Regular Shades,None,None,None,None,None,,,,,,,,,
16,68.63,Male,Male-Mid,3,Stringy Hair,Small Shades,None,Small Shades,None,None,None,Earring,None,,,,,,,,,
17,80.61,Male,Male-Light,2,Mohawk,None,None,None,None,Frown,None,None,None,,,,,,,,,
18,124.67,Male,Male-Mid,2,None,Eye Mask,Muttonchops,Eye Mask,None,None,None,None,None,,,,,,,,,
19,74.99,Female,Female-Dark,3,Bandana,Horned Rim Glasses,None,Horned Rim Glasses,None,Hot Lipstick,None,None,None,,,,,,,,,
20,72.33,Male,Male-Light,1,Crazy Hair,None,None,None,None,None,None,None,None,,,,,,,,,
21,62.23,Male,Male-Light,3,Messy Hair,Classic Shades,None,Classic Shades,None,None,None,Earring,None,,,,,,,,,
22,224.73,Female,Female-Dark,2,Pilot Helmet,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
23,92.93,Male,Male-Light,3,Do-rag,None,Handlebars,None,None,None,None,Earring,None,,,,,,,,,
24,84.94,Male,Male-Light,2,Mohawk Dark,None,None,None,None,Smile,None,None,None,,,,,,,,,
25,126.37,Female,Female-Dark,1,Wild White Hair,None,None,None,None,None,None,None,None,,,,,,,,,
26,115.97,Female,Female-Mid,1,Dark Hair,None,None,None,None,None,None,None,None,,,,,,,,,
27,56.7,Male,Male-Light,2,Peak Spike,None,None,None,None,None,None,Earring,None,,,,,,,,,
28,61.69,Male,Male-Dark,2,Crazy Hair,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
29,111.38,Female,Female-Mid,3,Half Shaved,Horned Rim Glasses,None,Horned Rim Glasses,None,None,None,Earring,None,,,,,,,,,
30,82.94,Male,Male-Dark,2,Cap,None,Normal Beard Black,None,None,None,None,None,None,,,,,,,,,
31,74.43,Female,Female-Dark,1,Stringy Hair,None,None,None,None,None,None,None,None,,,,,,,,,
32,126.16,Male,Male-Light,2,None,VR,None,VR,None,Frown,None,None,None,,,,,,,,,
33,81.18,Male,Male-Light,1,Peak Spike,None,None,None,None,None,None,None,None,[0.51],[1240.0],[1461.0],1.0,1240.00,0.51,1461.00,NA,NA
34,61.82,Female,Female-Light,2,Frumpy Hair,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
35,172.61,Male,Male-Dark,5,Peak Spike,Horned Rim Glasses,Normal Beard,Horned Rim Glasses,Cigarette,None,None,Earring,None,,,,,,,,,
36,120.3,Female,Female-Mid,1,Red Mohawk,None,None,None,None,None,None,None,None,,,,,,,,,
37,77.6,Female,Female-Dark,2,Cap,Clown Eyes Blue,None,Clown Eyes Blue,None,None,None,None,None,,,,,,,,,
38,78.6,Female,Female-Light,3,Frumpy Hair,Classic Shades,None,Classic Shades,None,Purple Lipstick,None,None,None,,,,,,,,,
39,107.11,Male,Male-Light,3,Shaved Head,Regular Shades,None,Regular Shades,None,Frown,None,None,None,,,,,,,,,
40,115.76,Male,Male-Light,3,Bandana,None,Chinstrap,None,None,Smile,None,None,None,,,,,,,,,
41,98.27,Male,Male-Dark,3,Wild Hair,Clown Eyes Green,Muttonchops,Clown Eyes Green,None,None,None,None,None,,,,,,,,,
42,57.18,Female,Female-Dark,2,Wild Hair,None,None,None,Cigarette,None,None,None,None,,,,,,,,,
43,120.3,Female,Female-Mid,1,Half Shaved,None,None,None,None,None,None,None,None,,,,,,,,,
44,69.92,Male,Male-Light,1,Messy Hair,None,None,None,None,None,None,None,None,,,,,,,,,
45,78.79,Male,Male-Mid,2,None,None,None,None,None,None,Mole,Earring,None,,,,,,,,,
46,106.54,Female,Female-Mid,2,Straight Hair Dark,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
47,72.48,Male,Male-Dark,1,Knitted Cap,None,None,None,None,None,None,None,None,,,,,,,,,
48,59.78,Male,Male-Light,2,Mohawk,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
49,82.03,Female,Female-Dark,2,Bandana,Purple Eye Shadow,None,Purple Eye Shadow,None,None,None,None,None,,,,,,,,,
50,154.28,Male,Male-Mid,2,Fedora,None,None,None,None,None,Spots,None,None,,,,,,,,,
51,76.96,Male,Male-Mid,3,Wild Hair,None,Muttonchops,None,None,None,None,Earring,None,,,,,,,,,
52,84.64,Male,Male-Dark,4,Knitted Cap,Nerd Glasses,Shadow Beard,Nerd Glasses,None,None,None,Earring,None,,,,,,,,,
53,107.64,Female,Female-Light,2,Straight Hair,Big Shades,None,Big Shades,None,None,None,None,None,"[129.99, 22.0, 20.0]","[315460.0, 53390.0, 48540.0]","[152.185, 334.807, 334.807]",3.0,315460.00,129.99,152.19,490.848644902699,182.622
54,87.22,Male,Male-Dark,1,Hoodie,None,None,None,None,None,None,None,None,,,,,,,,,
55,107.98,Male,Male-Light,1,None,Eye Patch,None,Eye Patch,None,None,None,None,None,,,,,,,,,
56,81.94,Male,Male-Dark,1,Shaved Head,None,None,None,None,None,None,None,None,,,,,,,,,
57,72.81,Male,Male-Light,1,Headband,None,None,None,None,None,None,None,None,,,,,,,,,
58,92.64,Male,Male-Mid,2,Hoodie,None,Normal Beard Black,None,None,None,None,None,None,,,,,,,,,
59,134.19,Male,Male-Albino,2,Cowboy Hat,None,Muttonchops,None,None,None,None,None,None,,,,,,,,,
60,60.79,Female,Female-Light,2,Stringy Hair,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
61,116.18,Female,Female-Light,1,Dark Hair,None,None,None,None,None,None,None,None,,,,,,,,,
62,92.42,Female,Female-Dark,4,Mohawk Dark,Clown Eyes Blue,None,Clown Eyes Blue,None,Hot Lipstick,None,Earring,None,,,,,,,,,
63,80.78,Male,Male-Dark,3,Shaved Head,Small Shades,None,Small Shades,None,None,None,Earring,None,,,,,,,,,
64,108.42,Female,Female-Mid,2,Straight Hair Blonde,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
65,81.27,Female,Female-Mid,2,Headband,Eye Mask,None,Eye Mask,None,None,None,None,None,,,,,,,,,
66,109.02,Female,Female-Dark,1,Tassle Hat,None,None,None,None,None,None,None,None,,,,,,,,,
67,139.4,Female,Female-Dark,3,Half Shaved,3D Glasses,None,3D Glasses,None,Purple Lipstick,None,None,None,,,,,,,,,
68,69.66,Male,Male-Dark,2,Do-rag,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,,,,,,,,,
69,107.8,Male,Male-Mid,2,Fedora,None,Normal Beard Black,None,None,None,None,None,None,,,,,,,,,
70,81.81,Female,Female-Mid,4,Crazy Hair,Regular Shades,None,Regular Shades,Cigarette,None,None,Earring,None,,,,,,,,,
71,140.99,Female,Female-Light,3,Half Shaved,Green Eye Shadow,None,Green Eye Shadow,None,Purple Lipstick,None,None,None,,,,,,,,,
72,129.77,Male,Male-Dark,4,Fedora,Nerd Glasses,Normal Beard,Nerd Glasses,None,None,None,Earring,None,,,,,,,,,
73,62.86,Female,Female-Mid,3,Bandana,None,None,None,None,Black Lipstick,None,Earring,None,,,,,,,,,
74,64.32,Male,Male-Dark,3,Mohawk Dark,None,Shadow Beard,None,None,None,None,Earring,None,,,,,,,,,
75,80.86,Male,Male-Light,3,Knitted Cap,Eye Patch,Shadow Beard,Eye Patch,None,None,None,None,None,,,,,,,,,
76,63.49,Male,Male-Light,2,Do-rag,None,None,None,Cigarette,None,None,None,None,,,,,,,,,
77,79.47,Male,Male-Dark,2,Stringy Hair,None,Handlebars,None,None,None,None,None,None,,,,,,,,,
78,99.88,Male,Male-Mid,3,Knitted Cap,Eye Patch,Handlebars,Eye Patch,None,None,None,None,None,,,,,,,,,
79,77.41,Male,Male-Dark,2,Mohawk Dark,None,Normal Beard,None,None,None,None,None,None,,,,,,,,,
80,87.86,Male,Male-Albino,2,Wild Hair,None,Mustache,None,None,None,None,None,None,,,,,,,,,
81,69.5,Male,Male-Light,2,Headband,Small Shades,None,Small Shades,None,None,None,None,None,,,,,,,,,
82,84.16,Male,Male-Albino,1,Headband,None,None,None,None,None,None,None,None,,,,,,,,,
83,113.17,Male,Male-Light,3,Shaved Head,Small Shades,None,Small Shades,Vape,None,None,None,None,,,,,,,,,
84,61.0,Male,Male-Light,3,Messy Hair,Big Shades,None,Big Shades,None,None,None,Earring,None,,,,,,,,,
85,76.99,Female,Female-Dark,1,Crazy Hair,None,None,None,None,None,None,None,None,,,,,,,,,
86,103.84,Female,Female-Dark,4,Knitted Cap,Green Eye Shadow,None,Green Eye Shadow,None,Hot Lipstick,None,Earring,None,,,,,,,,,
87,62.31,Male,Male-Light,2,Hoodie,None,None,None,None,None,None,Earring,None,,,,,,,,,
88,66.78,Female,Female-Light,2,Cap,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
89,300.78,Female,Female-Dark,1,None,None,None,None,None,None,None,None,None,"[19.99, 20.0, 1.5]","[48510.0, 48540.0, 3640.0]","[365.25, 365.25, 1461.0]",3.0,48510.00,19.99,365.25,-0.06386353804000743,0.0
90,78.73,Male,Male-Mid,2,Hoodie,Eye Patch,None,Eye Patch,None,None,None,None,None,,,,,,,,,
91,137.64,Female,Female-Light,2,Straight Hair,None,None,None,None,None,None,None,Clown Nose,,,,,,,,,
92,158.8,Female,Female-Light,3,Pink With Hat,Nerd Glasses,None,Nerd Glasses,None,Purple Lipstick,None,None,None,,,,,,,,,
93,73.28,Female,Female-Light,1,Bandana,None,None,None,None,None,None,None,None,,,,,,,,,
94,149.46,Female,Female-Dark,3,Pink With Hat,Regular Shades,None,Regular Shades,None,None,None,Earring,None,,,,,,,,,
95,46.39,Male,Male-Mid,2,Mohawk,None,None,None,None,None,None,Earring,None,,,,,,,,,
96,120.51,Female,Female-Light,1,Blonde Bob,None,None,None,None,None,None,None,None,,,,,,,,,
97,70.56,Male,Male-Mid,1,Wild Hair,None,None,None,None,None,None,None,None,,,,,,,,,
98,216.97,Female,Female-Light,3,Dark Hair,Welding Goggles,None,Welding Goggles,None,Black Lipstick,None,None,None,,,,,,,,,
99,68.78,Male,Male-Mid,2,Hoodie,None,None,None,Cigarette,None,None,None,None,,,,,,,,,
100,108.45,Female,Female-Mid,1,Tassle Hat,None,None,None,None,None,None,None,None,,,,,,,,,
101,85.17,Male,Male-Mid,2,Police Cap,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,,,,,,,,,
102,122.42,Male,Male-Mid,2,Vampire Hair,None,Luxurious Beard,None,None,None,None,None,None,,,,,,,,,
103,142.28,Female,Female-Dark,3,Blonde Bob,Green Eye Shadow,None,Green Eye Shadow,None,Black Lipstick,None,None,None,,,,,,,,,
104,104.73,Male,Male-Dark,4,Crazy Hair,Eye Patch,Normal Beard Black,Eye Patch,None,None,None,Earring,None,,,,,,,,,
105,70.85,Male,Male-Light,1,Mohawk Thin,None,None,None,None,None,None,None,None,,,,,,,,,
106,121.93,Female,Female-Light,1,Straight Hair Blonde,None,None,None,None,None,None,None,None,,,,,,,,,
107,72.82,Male,Male-Mid,1,Headband,None,None,None,None,None,None,None,None,,,,,,,,,
108,64.76,Female,Female-Light,2,Headband,None,None,None,None,Black Lipstick,None,None,None,,,,,,,,,
109,113.79,Male,Male-Dark,3,Fedora,None,Handlebars,None,None,None,None,Earring,None,,,,,,,,,
110,79.02,Female,Female-Dark,4,Mohawk Dark,None,None,None,Cigarette,Purple Lipstick,None,Earring,None,,,,,,,,,
111,81.74,Male,Male-Dark,2,Knitted Cap,None,Handlebars,None,None,None,None,None,None,,,,,,,,,
112,131.83,Male,Male-Mid,4,Bandana,Horned Rim Glasses,Big Beard,Horned Rim Glasses,None,None,None,Earring,None,,,,,,,,,
113,82.2,Male,Male-Albino,1,Mohawk,None,None,None,None,None,None,None,None,,,,,,,,,
114,120.86,Female,Female-Dark,1,Red Mohawk,None,None,None,None,None,None,None,None,,,,,,,,,
115,96.38,Female,Female-Dark,2,Half Shaved,None,None,None,None,None,None,Earring,None,,,,,,,,,
116,252.77,Female,Female-Dark,4,Tiara,Clown Eyes Blue,None,Clown Eyes Blue,None,Black Lipstick,None,Earring,None,"[2.4, 1.2]","[5820.0, 2910.0]","[1461.0, 1461.0]",2.0,5820.00,2.40,1461.00,99.93129508759876,0.0
117,299.86,Zombie,Zombie,2,Messy Hair,None,Front Beard Dark,None,None,None,None,None,None,,,,,,,,,
118,60.92,Female,Female-Light,2,Bandana,None,None,None,None,Black Lipstick,None,None,None,"[20.45, 20.25]","[49630.0, 49140.0]","[243.496, 304.37]",2.0,49630.00,20.45,243.50,0.9950957448973362,60.873999999999995
119,52.2,Male,Male-Mid,2,Cap,None,None,None,None,None,None,Earring,None,,,,,,,,,
120,97.38,Female,Female-Mid,2,Tassle Hat,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
121,221.01,Female,Female-Light,2,Tiara,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
122,52.83,Male,Male-Light,2,Mohawk,None,None,None,Cigarette,None,None,None,None,,,,,,,,,
123,178.13,Female,Female-Mid,2,Wild White Hair,None,None,None,None,None,Spots,None,None,,,,,,,,,
124,89.19,Male,Male-Mid,3,Peak Spike,None,Normal Beard Black,None,None,None,None,Earring,None,"[17.0, 19.9, 15.0]","[41260.0, 48290.0, 36400.0]","[213.059, 304.37, 304.37]",3.0,41260.00,17.00,213.06,-14.559648795841875,91.311
125,110.93,Female,Female-Light,3,Tassle Hat,Big Shades,None,Big Shades,None,Purple Lipstick,None,None,None,,,,,,,,,
126,92.25,Male,Male-Albino,4,Headband,Eye Patch,None,Eye Patch,Cigarette,None,None,Earring,None,,,,,,,,,
127,70.28,Female,Female-Mid,2,Stringy Hair,Clown Eyes Green,None,Clown Eyes Green,None,None,None,None,None,,,,,,,,,
128,158.36,Male,Male-Light,4,Police Cap,None,Chinstrap,None,Vape,None,Mole,None,None,,,,,,,,,
129,148.04,Male,Male-Light,4,Cap Forward,Horned Rim Glasses,None,Horned Rim Glasses,Cigarette,None,None,None,None,,,,,,,,,
130,70.85,Male,Male-Light,1,Mohawk,None,None,None,None,None,None,None,None,,,,,,,,,
131,105.64,Female,Female-Mid,2,Straight Hair Dark,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
132,71.29,Male,Male-Dark,1,Mohawk Thin,None,None,None,None,None,None,None,None,,,,,,,,,
133,156.58,Male,Male-Albino,3,Purple Hair,None,Chinstrap,None,Pipe,None,None,None,None,,,,,,,,,
134,97.45,Male,Male-Mid,1,Police Cap,None,None,None,None,None,None,None,None,,,,,,,,,
135,87.55,Male,Male-Light,1,Cap Forward,None,None,None,None,None,None,None,None,,,,,,,,,
136,95.24,Male,Male-Dark,3,Shaved Head,Clown Eyes Green,Shadow Beard,Clown Eyes Green,None,None,None,None,None,,,,,,,,,
137,70.35,Male,Male-Dark,1,Messy Hair,None,None,None,None,None,None,None,None,,,,,,,,,
138,58.7,Male,Male-Light,2,Stringy Hair,Horned Rim Glasses,None,Horned Rim Glasses,None,None,None,None,None,"[57.99, 42.0, 15.95, 15.25, 14.5, 14.0]","[140730.0, 101930.0, 38710.0, 37010.0, 35190.0, 33980.0]","[152.185, 152.185, 273.933, 273.933, 273.933, 273.933]",6.0,140730.00,57.99,152.19,38.063984460075936,0.0
139,73.45,Male,Male-Mid,2,Do-rag,Eye Patch,None,Eye Patch,None,None,None,None,None,"[87.9, 45.99, 45.99, 24.99]","[213320.0, 111610.0, 111610.0, 60650.0]","[121.748, 152.185, 152.185, 304.37]",4.0,213320.00,87.90,121.75,91.128114612359,30.436999999999998
140,106.51,Female,Female-Dark,1,None,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
141,111.77,Male,Male-Dark,3,Headband,3D Glasses,Chinstrap,3D Glasses,None,None,None,None,None,"[39.5, 33.99]","[95860.0, 82490.0]","[182.622, 273.933]",2.0,95860.00,39.50,182.62,16.206616479373505,91.31099999999998
142,60.06,Male,Male-Light,2,Mohawk,Regular Shades,None,Regular Shades,None,None,None,None,None,,,,,,,,,
143,264.38,Male,Male-Light,2,Beanie,Horned Rim Glasses,None,Horned Rim Glasses,None,None,None,None,None,"[180.0, 165.0, 6.5]","[436820.0, 400420.0, 15770.0]","[182.622, 304.37, 365.25]",3.0,436820.00,180.00,182.62,9.09018258283157,121.74799999999999
144,86.05,Male,Male-Dark,3,Frumpy Hair,None,Luxurious Beard,None,Cigarette,None,None,None,None,,,,,,,,,
145,70.55,Male,Male-Light,1,Wild Hair,None,None,None,None,None,None,None,None,,,,,,,,,
146,46.37,Male,Male-Light,2,Mohawk,None,None,None,None,None,None,Earring,None,,,,,,,,,
147,71.41,Male,Male-Albino,2,Mohawk Thin,Regular Shades,None,Regular Shades,None,None,None,None,None,,,,,,,,,
148,86.8,Male,Male-Mid,1,Hoodie,None,None,None,None,None,None,None,None,,,,,,,,,
149,91.68,Male,Male-Light,3,Messy Hair,Big Shades,Luxurious Beard,Big Shades,None,None,None,None,None,,,,,,,,,
150,82.37,Female,Female-Mid,2,None,None,None,None,None,Purple Lipstick,None,Earring,None,"[138.99, 128.0]","[337300.0, 310630.0]","[91.311, 91.311]",2.0,337300.00,138.99,91.31,8.585427726144525,0.0
151,70.14,Male,Male-Mid,2,Stringy Hair,VR,None,VR,None,None,None,None,None,,,,,,,,,
152,67.9,Male,Male-Light,2,Mohawk Dark,Clown Eyes Green,None,Clown Eyes Green,None,None,None,None,None,,,,,,,,,
153,83.2,Male,Male-Mid,3,Cap,Eye Mask,None,Eye Mask,None,None,None,Earring,None,,,,,,,,,
154,79.62,Male,Male-Dark,3,Hoodie,None,Shadow Beard,None,None,None,None,Earring,None,,,,,,,,,
155,135.1,Male,Male-Dark,2,Clown Hair Green,None,None,None,None,None,None,None,Clown Nose,"[25.0, 12.0, 7.0]","[60670.0, 29120.0, 16990.0]","[334.807, 365.25, 365.25]",3.0,60670.00,25.00,334.81,108.33762576834587,30.442999999999984
156,84.67,Male,Male-Dark,2,Cap Forward,Small Shades,None,Small Shades,None,None,None,None,None,,,,,,,,,
157,58.66,Male,Male-Mid,2,Cap,None,None,None,Cigarette,None,None,None,None,,,,,,,,,
158,91.53,Male,Male-Light,3,Wild Hair,Regular Shades,Goat,Regular Shades,None,None,None,None,None,,,,,,,,,
159,45.3,Male,Male-Light,2,Stringy Hair,None,None,None,None,None,None,Earring,None,,,,,,,,,
160,168.27,Female,Female-Mid,3,Pigtails,Clown Eyes Blue,None,Clown Eyes Blue,None,Purple Lipstick,None,None,None,"[53.0, 40.0, 30.0]","[128620.0, 97070.0, 72800.0]","[273.933, 304.37, 334.807]",3.0,128620.00,53.00,273.93,32.50095291075604,30.437000000000012
161,61.27,Female,Female-Dark,2,Frumpy Hair,None,None,None,None,Hot Lipstick,None,None,None,"[89.47, 77.0, 22.21, 17.0]","[217130.0, 186860.0, 53900.0, 41260.0]","[121.748, 121.748, 273.933, 273.933]",4.0,217130.00,89.47,121.75,16.19867173995644,0.0
162,92.22,Male,Male-Mid,3,Frumpy Hair,Horned Rim Glasses,Normal Beard Black,Horned Rim Glasses,None,None,None,None,None,,,,,,,,,
163,73.87,Male,Male-Dark,2,Shaved Head,Eye Patch,None,Eye Patch,None,None,None,None,None,,,,,,,,,
164,74.22,Female,Female-Mid,2,Stringy Hair,VR,None,VR,None,None,None,None,None,,,,,,,,,
165,89.81,Male,Male-Mid,3,Mohawk Dark,None,Front Beard Dark,None,Cigarette,None,None,None,None,,,,,,,,,
166,71.15,Male,Male-Dark,2,Shaved Head,Regular Shades,None,Regular Shades,None,None,None,None,None,,,,,,,,,
167,62.71,Female,Female-Mid,2,Headband,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
168,190.82,Female,Female-Light,3,Blonde Bob,Blue Eye Shadow,None,Blue Eye Shadow,None,None,None,None,None,[25.0],[60670.0],[365.25],1.0,60670.00,25.00,365.25,NA,NA
169,127.45,Female,Female-Mid,3,Wild White Hair,Regular Shades,None,Regular Shades,None,Hot Lipstick,None,None,None,"[56.0, 45.0, 6.99, 1.0]","[135900.0, 109210.0, 16960.0, 2430.0]","[152.185, 273.933, 365.25, 730.5]",4.0,135900.00,56.00,152.19,24.438014485720302,121.74799999999999
170,85.18,Male,Male-Light,3,Peak Spike,Classic Shades,None,Classic Shades,None,None,Mole,None,None,,,,,,,,,
171,59.15,Male,Male-Mid,3,Stringy Hair,None,None,None,None,None,Mole,Earring,None,,,,,,,,,
172,138.84,Female,Female-Mid,3,Blonde Bob,3D Glasses,None,3D Glasses,None,Purple Lipstick,None,None,None,,,,,,,,,
173,186.08,Female,Female-Dark,5,Messy Hair,Clown Eyes Blue,None,Clown Eyes Blue,Pipe,Hot Lipstick,Mole,None,None,"[99.9, 50.0]","[242440.0, 121340.0]","[152.185, 334.807]",2.0,242440.00,99.90,152.19,99.8005620523978,182.622
174,62.06,Male,Male-Dark,3,Wild Hair,Horned Rim Glasses,None,Horned Rim Glasses,None,None,None,Earring,None,,,,,,,,,
175,65.61,Male,Male-Mid,2,Cap,Big Shades,None,Big Shades,None,None,None,None,None,,,,,,,,,
176,85.32,Female,Female-Dark,4,Wild Hair,Regular Shades,None,Regular Shades,None,Purple Lipstick,None,Earring,None,,,,,,,,,
177,75.6,Male,Male-Dark,2,Bandana,None,Luxurious Beard,None,None,None,None,None,None,,,,,,,,,
178,101.95,Male,Male-Mid,1,Fedora,None,None,None,None,None,None,None,None,,,,,,,,,
179,89.24,Male,Male-Albino,3,Mohawk Thin,Classic Shades,Shadow Beard,Classic Shades,None,None,None,None,None,,,,,,,,,
180,223.83,Female,Female-Dark,2,Pilot Helmet,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
181,71.29,Male,Male-Dark,1,Mohawk,None,None,None,None,None,None,None,None,,,,,,,,,
182,92.53,Male,Male-Albino,1,Peak Spike,None,None,None,None,None,None,None,None,,,,,,,,,
183,106.3,Male,Male-Light,1,None,None,Shadow Beard,None,None,None,None,None,None,,,,,,,,,
184,128.0,Female,Female-Dark,2,Blonde Bob,Green Eye Shadow,None,Green Eye Shadow,None,None,None,None,None,,,,,,,,,
185,111.82,Female,Female-Light,2,Wild White Hair,None,None,None,None,Hot Lipstick,None,None,None,,,,,,,,,
186,78.73,Male,Male-Dark,2,Crazy Hair,None,Mustache,None,None,None,None,None,None,[21.5],[52180.0],[182.622],1.0,52180.00,21.50,182.62,NA,NA
187,118.71,Female,Female-Light,1,Straight Hair,None,None,None,None,None,None,None,None,,,,,,,,,
188,71.48,Male,Male-Dark,3,Peak Spike,Nerd Glasses,None,Nerd Glasses,None,None,None,Earring,None,,,,,,,,,
189,61.87,Female,Female-Light,2,Mohawk Thin,None,None,None,None,Purple Lipstick,None,None,None,,,,,,,,,
190,73.24,Male,Male-Dark,1,Headband,None,None,None,None,None,None,None,None,,,,,,,,,
191,75.51,Female,Female-Dark,1,Mohawk,None,None,None,None,None,None,None,None,,,,,,,,,
192,111.7,Male,Male-Mid,4,Mohawk Thin,Nerd Glasses,None,Nerd Glasses,None,None,None,Earring,Clown Nose,,,,,,,,,
193,117.95,Female,Female-Light,3,Tassle Hat,Green Eye Shadow,None,Green Eye Shadow,None,None,None,Earring,None,,,,,,,,,
194,66.96,Male,Male-Light,2,Wild Hair,Clown Eyes Green,None,Clown Eyes Green,None,None,None,None,None,,,,,,,,,
195,109.65,Female,Female-Light,2,Straight Hair Blonde,Nerd Glasses,None,Nerd Glasses,None,None,None,None,None,[16.0],[38830.0],[334.807],1.0,38830.00,16.00,334.81,NA,NA
196,110.03,Female,Female-Light,3,Tassle Hat,Big Shades,None,Big Shades,None,Hot Lipstick,None,None,None,,,,,,,,,
197,63.16,Male,Male-Dark,2,Frumpy Hair,Eye Patch,None,Eye Patch,None,None,None,None,None,"[65.0, 64.0, 69.5, 70.0]","[157740.0, 155320.0, 168660.0, 169880.0]","[23.0, 24.0, 30.437, 30.437]",4.0,157740.00,65.00,23.00,1.5574197951339483,1.0
198,281.67,Male,Male-Mid,2,Beanie,None,Luxurious Beard,None,None,None,None,None,None,,,,,,,,,
199,120.16,Female,Female-Light,2,Blonde Short,Classic Shades,None,Classic Shades,None,None,None,None,None,,,,,,,,,
200,75.21,Female,Female-Dark,1,Wild Hair,None,None,None,None,None,None,None,None,,,,,,,,,
201,150.25,Female,Female-Mid,4,Dark Hair,Blue Eye Shadow,None,Blue Eye Shadow,Cigarette,Hot Lipstick,None,None,None,,,,,,,,,
202,65.98,Female,Female-Light,3,Headband,None,None,None,None,Purple Lipstick,None,Earring,None,,,,,,,,,
203,93.63,Male,Male-Light,3,Messy Hair,Regular Shades,Front Beard,Regular Shades,None,None,None,None,None,"[128.88, 121.0, 150.0, 29.99]","[312770.0, 293640.0, 364020.0, 72780.0]","[91.311, 91.311, 121.748, 273.933]",4.0,312770.00,128.88,91.31,6.514417264619042,0.0
204,61.55,Male,Male-Mid,2,Crazy Hair,Regular Shades,None,Regular Shades,None,None,None,None,None,,,,,,,,,
205,92.9,Male,Male-Mid,3,Mohawk Dark,Big Shades,Normal Beard Black,Big Shades,None,None,None,None,None,,,,,,,,,
206,115.09,Male,Male-Light,3,Cap Forward,None,None,None,Cigarette,None,None,None,Clown Nose,,,,,,,,,
