id,RarityScore,AttributeCount,Background,Fur,Skin,Head,Mouth,Teeth,Clothing,EyeWear,PriceSellSOL,TimeInDays,TimesSold,LastSOLPrice,TimePurchase,LastPriceSOL
39,2336,4,Red,Red , Blue,Floral Crown,Grilled Cheese,No Traits,Hawaiin Shirt,Heart Glasses,,,,,,
40,833,2,Red,Albino , Peach,No Traits,Soda,No Traits,Dress,No Traits,['53.00'],[213.059],1.0,53.00,213.06,53.0
41,981,3,Yellow,Purple , Peach,Mobster Hat,Eggplant,No Traits,No Traits,Shutter Shades,"['80.00', '63.80', '91.01']","[30.437, 243.496, 243.496]",3.0,80.00,30.44,80.0
42,704,2,Purple,Purple , Purple,Baseball Cap,Banana,No Traits,No Traits,No Traits,"['47.60', '21.08']","[243.496, 243.496]",2.0,47.60,243.5,47.6
43,821,3,Red,Red , Peach,Bucket Hat,Sandwich,No Traits,Striped T-Shirt,No Traits,"['36.00', '50.00', '62.27']","[182.622, 213.059, 243.496]",3.0,36.00,182.62,36.0
44,1992,3,Purple,Black , Peach,Explorer's Hat,Grilled Cheese,No Traits,NB-Ape Yellow,No Traits,"['150.00', '129.33']","[30.437, 243.496]",2.0,150.00,30.44,150.0
45,1651,4,Green,Green , Green,Graduation Cap,No Traits,Wooden Tooth,Police Uniform,3d Glasses,"['0.00', '67.00', '138.91']","[21.0, 91.311, 243.496]",3.0,0.00,21.0,0.0
46,658,2,Blue,Blue , Blue,Mobster Hat,Sandwich,No Traits,No Traits,No Traits,"['30.66', '23.95']","[243.496, 243.496]",2.0,30.66,243.5,30.66
47,2484,4,Blue,Blue , Peach,The Croc Hunter,Smooth Brain,No Traits,Denim Vest,Round Glasses,['57.48'],[243.496],1.0,57.48,243.5,57.48
48,940,3,Blue,Blue , Peach,Snapback Cap,Ape-le Juice,No Traits,Hoodie,No Traits,"['12.69', '12.45']","[243.496, 243.496]",2.0,12.69,243.5,12.69
49,924,4,Red,Red , Peach,Mobster Hat,Grilled Cheese,Wooden Tooth,No Traits,Wayfarer Glasses,,,,,,
50,775,2,Black,Black , Peach,No Traits,Drool,No Traits,Leather Jacket,No Traits,,,,,,
51,1502,3,Blue,Blue , Peach,Fishing Hat,Donut,No Traits,Police Uniform,No Traits,['114.96'],[243.496],1.0,114.96,243.5,114.96
52,1201,3,Red,Albino , Peach,Viking's Helmet,Dirty Fiat,No Traits,No Traits,Shutter Shades,['21.08'],[243.496],1.0,21.08,243.5,21.08
53,2875,4,Black,Green , Peach,Degen Service Hat,Ape-le Juice,No Traits,Degen Service Shirt,Wayfarer Glasses,,,,,,
54,819,2,Yellow,Brown , Peach,Musketeer's Hat,Soda,No Traits,No Traits,No Traits,,,,,,
55,3540,3,Blue,Albino , Blue,Degen Service Hat,Ape Force 1's,No Traits,Degen Service Shirt,No Traits,['399.00'],[243.496],1.0,399.00,243.5,399.0
56,810,2,Red,Red , Blue,No Traits,Dirty Fiat,No Traits,Dress,No Traits,"['62.94', '10.43']","[243.496, 243.496]",2.0,62.94,243.5,62.94
57,812,2,Green,Green , Green,No Traits,Pipe,No Traits,Black T-Shirt,No Traits,['54.61'],[243.496],1.0,54.61,243.5,54.61
58,1816,4,Blue,Blue , Peach,Snapback Cap,Soda,No Traits,NB-Ape Yellow,Wayfarer Glasses,,,,,,
59,661,1,Yellow,Brown , Yellow,No Traits,Banana,No Traits,No Traits,No Traits,['33.53'],[243.496],1.0,33.53,243.5,33.53
